"quarterly_date","unemployment_rate","cpi_trim_yoy"
1977-01-01,7.8,NA
1977-04-01,7.8,NA
1977-07-01,8.3,NA
1977-10-01,8.5,NA
1978-01-01,8.5,NA
1978-04-01,8.4,NA
1978-07-01,8.4,NA
1978-10-01,8.3,NA
1979-01-01,7.9,NA
1979-04-01,7.4,NA
1979-07-01,7,NA
1979-10-01,7.2,NA
1980-01-01,7.6,NA
1980-04-01,7.7,NA
1980-07-01,7.3,NA
1980-10-01,7.3,NA
1981-01-01,7.4,NA
1981-04-01,7.2,NA
1981-07-01,8.1,NA
1981-10-01,8.7,NA
1982-01-01,9.3,NA
1982-04-01,11.1,NA
1982-07-01,12.4,NA
1982-10-01,13.1,NA
1983-01-01,12.5,NA
1983-04-01,12.4,NA
1983-07-01,11.4,NA
1983-10-01,11.3,NA
1984-01-01,11.3,NA
1984-04-01,11.3,NA
1984-07-01,11.8,NA
1984-10-01,11.1,NA
1985-01-01,11,NA
1985-04-01,10.7,NA
1985-07-01,10.2,NA
1985-10-01,10.1,NA
1986-01-01,9.8,NA
1986-04-01,9.6,NA
1986-07-01,9.5,NA
1986-10-01,9.5,NA
1987-01-01,9.4,NA
1987-04-01,8.9,NA
1987-07-01,8.4,NA
1987-10-01,8,NA
1988-01-01,7.8,NA
1988-04-01,7.6,NA
1988-07-01,7.8,NA
1988-10-01,7.5,NA
1989-01-01,7.5,NA
1989-04-01,7.5,NA
1989-07-01,7.3,NA
1989-10-01,7.7,NA
1990-01-01,7.3,4.6
1990-04-01,7.6,4.2
1990-07-01,8.5,4
1990-10-01,9.5,4
1991-01-01,10.5,3.8
1991-04-01,10.5,3.3
1991-07-01,10.3,2.9
1991-10-01,10.3,2
1992-01-01,10.9,1.6
1992-04-01,11.4,1.5
1992-07-01,11.6,1.4
1992-10-01,11.7,2
1993-01-01,11.2,2
1993-04-01,11.7,1.9
1993-07-01,11.5,1.9
1993-10-01,11.4,1.6
1994-01-01,10.6,1.6
1994-04-01,10.3,1.3
1994-07-01,10.1,1.4
1994-10-01,9.6,1.6
1995-01-01,9.7,1.9
1995-04-01,9.5,2.3
1995-07-01,9.2,2.2
1995-10-01,9.4,1.7
1996-01-01,9.6,1.4
1996-04-01,9.8,1.2
1996-07-01,9.9,1.1
1996-10-01,9.7,1.4
1997-01-01,9.3,1.3
1997-04-01,9.1,1.3
1997-07-01,8.8,1.1
1997-10-01,8.5,0.8
1998-01-01,8.4,0.9
1998-04-01,8.4,0.9
1998-07-01,8.2,1
1998-10-01,8.1,1.1
1999-01-01,7.9,1.2
1999-04-01,7.6,1.2
1999-07-01,7.5,1.6
1999-10-01,6.8,1.6
2000-01-01,6.9,1.6
2000-04-01,6.7,1.8
2000-07-01,6.9,1.8
2000-10-01,6.8,2.1
2001-01-01,7.1,2.2
2001-04-01,7.2,2.4
2001-07-01,7.2,2.3
2001-10-01,8.1,1.9
2002-01-01,7.9,2
2002-04-01,7.6,1.9
2002-07-01,7.6,2.1
2002-10-01,7.6,2.2
2003-01-01,7.4,2.2
2003-04-01,7.6,1.9
2003-07-01,7.9,1.8
2003-10-01,7.3,1.7
2004-01-01,7.3,1.4
2004-04-01,7.2,1.6
2004-07-01,6.9,1.6
2004-10-01,7.1,1.9
2005-01-01,6.9,1.9
2005-04-01,6.8,1.8
2005-07-01,6.7,1.8
2005-10-01,6.6,1.6
2006-01-01,6.5,1.8
2006-04-01,6.3,1.7
2006-07-01,6.5,2.3
2006-10-01,6.3,2.5
2007-01-01,6.3,2.8
2007-04-01,6.1,2.9
2007-07-01,6,2.5
2007-10-01,6.2,2.2
2008-01-01,6.2,2
2008-04-01,6.1,2.3
2008-07-01,6.3,2.5
2008-10-01,7,2.7
2009-01-01,8.4,2.4
2009-04-01,8.8,1.9
2009-07-01,8.5,1.3
2009-10-01,8.6,1.3
2010-01-01,8.3,1.1
2010-04-01,8,1.1
2010-07-01,8.2,1.3
2010-10-01,7.8,1.4
2011-01-01,7.8,1.6
2011-04-01,7.7,1.8
2011-07-01,7.5,2.1
2011-10-01,7.5,1.9
2012-01-01,7.4,1.9
2012-04-01,7.4,1.5
2012-07-01,7.4,1.3
2012-10-01,7.3,1.2
2013-01-01,7.3,1.2
2013-04-01,7.2,1.3
2013-07-01,7.1,1.3
2013-10-01,7.4,1.4
2014-01-01,7.1,1.5
2014-04-01,7.2,1.8
2014-07-01,7,1.7
2014-10-01,6.7,1.6
2015-01-01,6.9,1.6
2015-04-01,6.9,1.5
2015-07-01,7.1,1.7
2015-10-01,7.3,1.8
2016-01-01,7.2,1.8
2016-04-01,7,2
2016-07-01,7,1.8
2016-10-01,6.9,1.6
2017-01-01,6.7,1.4
2017-04-01,6.5,1.2
2017-07-01,6.2,1.4
2017-10-01,6,1.8
2018-01-01,5.8,1.9
2018-04-01,6,1.9
2018-07-01,5.8,2
2018-10-01,5.6,1.9
2019-01-01,5.8,2.2
2019-04-01,5.6,2.1
2019-07-01,5.6,2
2019-10-01,5.6,2.1
2020-01-01,8.5,1.8
2020-04-01,12.6,1.7
2020-07-01,9.1,1.7
2020-10-01,8.9,1.8
2021-01-01,7.7,2.2
2021-04-01,7.9,2.8
2021-07-01,7,3.5
2021-10-01,5.9,4
2022-01-01,5.4,5
2022-04-01,4.9,5.7
2022-07-01,5.1,5.5
2022-10-01,5,5.2
2023-01-01,5.1,4.2
2023-04-01,5.4,3.6
2023-07-01,5.5,3.5
2023-10-01,5.8,3.7
2024-01-01,6.1,3.2
2024-04-01,6.4,3
2024-07-01,6.5,2.6
2024-10-01,6.7,2.5
2025-01-01,6.8,2.9
2025-04-01,6.9,3.1
2025-07-01,7.1,3.1
2025-10-01,6.8,2.7
2026-01-01,6.5,2.4
